,ID,Date,Block,Primary Type,Description,Location Description,Arrest,District,Ward,Community Area,Year,Updated On,Location,Census Tracts,Wards
577022,10888547,03/24/2017 09:45:00 AM,072XX N HAMILTON AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,24.0,49.0,2.0,2017.0,02/10/2018 03:50:01 PM,"(42.013127694, -87.684983207)",341.0,5.0
378479,11176728,12/11/2017 03:05:00 PM,003XX E 133RD ST,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",False,5.0,9.0,54.0,2017.0,02/10/2018 03:50:01 PM,"(41.65364899, -87.614590067)",10.0,43.0
606962,10849782,02/07/2017 01:00:00 AM,025XX W 63RD ST,CRIMINAL DAMAGE,TO PROPERTY,ABANDONED BUILDING,False,8.0,15.0,66.0,2017.0,02/20/2017 03:47:42 PM,"(41.779213626, -87.686816857)",111.0,2.0
53486,11621747,03/13/2019 10:00:00 AM,107XX S HOXIE AVE,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,True,4.0,10.0,51.0,2019.0,03/20/2019 04:17:59 PM,"(41.700104464, -87.560771495)",174.0,47.0
692176,10710347,10/09/2016 11:58:00 PM,016XX W 79TH ST,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,True,6.0,21.0,71.0,2016.0,02/10/2018 03:50:01 PM,"(41.75033427, -87.665045312)",573.0,31.0
303283,11276703,04/05/2018 02:20:00 PM,004XX W EVERGREEN AVE,NARCOTICS,POSS: CRACK,SIDEWALK,True,18.0,27.0,8.0,2018.0,05/04/2018 03:51:04 PM,"(41.906507389, -87.639055705)",309.0,46.0
679215,10732098,10/27/2016 08:30:00 AM,050XX S LAFLIN ST,CRIMINAL TRESPASS,TO LAND,OTHER,False,9.0,16.0,61.0,2016.0,02/10/2018 03:50:01 PM,"(41.802251708, -87.662371544)",677.0,4.0
632717,10801425,01/01/2017 07:39:00 AM,072XX S DORCHESTER AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,3.0,5.0,43.0,2017.0,02/14/2017 03:49:42 PM,"(41.763740729, -87.590930221)",451.0,35.0
115553,11528672,12/07/2018 03:20:00 AM,066XX S KIMBARK AVE,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,3.0,5.0,42.0,2018.0,12/14/2018 04:11:14 PM,"(41.77453796, -87.594519432)",27.0,33.0
189839,11428372,08/27/2018 10:00:00 AM,043XX S ROCKWELL ST,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,9.0,12.0,58.0,2018.0,09/03/2018 04:08:41 PM,"(41.814907192, -87.689506425)",641.0,3.0
252481,11370189,06/11/2018 02:00:00 AM,008XX W OAKDALE AVE,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,19.0,44.0,6.0,2018.0,07/08/2018 04:03:03 PM,"(41.93544204, -87.649958869)",681.0,25.0
147021,11485531,10/23/2018 03:05:00 PM,047XX S LAKE SHORE DR NB,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,2.0,4.0,39.0,2018.0,10/30/2018 04:19:01 PM,"(41.809711578, -87.587747647)",400.0,10.0
234854,11367192,07/02/2018 07:44:00 PM,055XX S FRANCISCO AVE,ASSAULT,SIMPLE,ALLEY,False,8.0,14.0,63.0,2018.0,07/09/2018 04:19:49 PM,"(41.793026056, -87.696223579)",764.0,2.0
587284,10871199,03/08/2017 02:00:00 AM,019XX W NORTH AVE,BATTERY,SIMPLE,STREET,False,14.0,32.0,24.0,2017.0,02/10/2018 03:50:01 PM,"(41.910494911, -87.676875003)",438.0,41.0
716069,10674392,09/09/2016 04:00:00 AM,085XX S SANGAMON ST,ASSAULT,SIMPLE,RESIDENCE,False,6.0,21.0,71.0,2016.0,02/10/2018 03:50:01 PM,"(41.738939872, -87.647345256)",530.0,13.0
489413,11021345,07/17/2017 02:40:00 PM,046XX S ST LAWRENCE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2.0,4.0,38.0,2017.0,02/10/2018 03:50:01 PM,"(41.809994825, -87.611469487)",447.0,9.0
153098,11489494,10/15/2018 12:00:00 AM,075XX S WOLCOTT AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,6.0,17.0,71.0,2018.0,10/31/2018 04:10:57 PM,"(41.756814489, -87.670889819)",573.0,31.0
437717,11095173,09/21/2017 05:15:00 PM,113XX S CHAMPLAIN AVE,ASSAULT,AGGRAVATED: OTHER FIREARM,STREET,True,5.0,9.0,50.0,2017.0,02/10/2018 03:50:01 PM,"(41.688123034, -87.607111174)",601.0,43.0
223797,11385829,07/16/2018 12:00:00 PM,023XX W MADISON ST,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,12.0,2.0,28.0,2018.0,07/25/2018 03:53:11 PM,"(41.881183104, -87.68498211)",37.0,46.0
453545,11073347,08/31/2017 04:00:00 PM,087XX S EXCHANGE AVE,ASSAULT,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,4.0,10.0,46.0,2017.0,02/10/2018 03:50:01 PM,"(41.736646026, -87.552800739)",509.0,47.0
432162,11134325,09/28/2017 07:00:00 PM,121XX S ELIZABETH ST,THEFT,OVER $500,RESIDENCE,False,5.0,34.0,53.0,2017.0,02/10/2018 03:50:01 PM,"(41.673204056, -87.652721553)",662.0,22.0
666792,10750438,11/12/2016 07:51:00 AM,044XX W MONROE ST,BATTERY,AGGRAVATED: HANDGUN,STREET,False,11.0,28.0,26.0,2016.0,02/10/2018 03:50:01 PM,"(41.879632152, -87.736531579)",716.0,23.0
497322,11009446,07/07/2017 03:00:00 PM,026XX N NARRAGANSETT AVE,THEFT,POCKET-PICKING,SMALL RETAIL STORE,False,25.0,36.0,19.0,2017.0,02/10/2018 03:50:01 PM,"(41.927796583, -87.785597556)",78.0,21.0
28180,11660848,04/19/2019 09:00:00 PM,061XX S CAMPBELL AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,8.0,16.0,66.0,2019.0,04/26/2019 04:11:15 PM,"(41.782269872, -87.686170184)",111.0,2.0
171080,11452476,09/20/2018 04:00:00 PM,057XX W MADISON ST,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,ALLEY,False,15.0,29.0,25.0,2018.0,09/27/2018 04:01:02 PM,"(41.880186421, -87.768532463)",67.0,7.0
491236,11018580,07/15/2017 10:22:00 AM,059XX S CAMPBELL AVE,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,True,8.0,16.0,66.0,2017.0,02/10/2018 03:50:01 PM,"(41.78558545, -87.686254176)",111.0,2.0
491930,11018411,07/14/2017 02:00:00 PM,076XX S BISHOP ST,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,False,6.0,17.0,71.0,2017.0,02/10/2018 03:50:01 PM,"(41.755293118, -87.660324705)",557.0,31.0
538844,10946098,05/15/2017 09:00:00 PM,0000X E CHICAGO AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,18.0,42.0,8.0,2017.0,02/10/2018 03:50:01 PM,"(41.896685066, -87.627683859)",104.0,36.0
47428,11631463,03/22/2019 09:30:00 AM,0000X E MONROE ST,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,False,1.0,42.0,32.0,2019.0,03/29/2019 04:12:07 PM,"(41.880775433, -87.627029031)",367.0,36.0
453303,11073881,08/31/2017 10:00:00 PM,076XX S EAST END AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,4.0,8.0,43.0,2017.0,02/10/2018 03:50:01 PM,"(41.756035376, -87.583421482)",188.0,35.0
130599,11507671,11/15/2018 01:00:00 AM,057XX S LOOMIS BLVD,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,7.0,16.0,67.0,2018.0,11/22/2018 04:08:52 PM,"(41.790001609, -87.659624422)",297.0,2.0
292570,11292478,04/20/2018 09:00:00 PM,106XX S CALHOUN AVE,THEFT,FROM BUILDING,RESIDENCE,False,4.0,10.0,51.0,2018.0,05/04/2018 03:51:04 PM,"(41.701877358, -87.562006313)",174.0,47.0
601575,10849651,02/14/2017 06:30:00 PM,016XX S LOOMIS ST,THEFT,OVER $500,STREET,False,12.0,25.0,31.0,2017.0,02/10/2018 03:50:01 PM,"(41.859461081, -87.661366361)",365.0,26.0
457211,11068236,08/26/2017 04:04:00 PM,003XX W 120TH ST,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,5.0,34.0,53.0,2017.0,02/10/2018 03:50:01 PM,"(41.676106425, -87.631540791)",60.0,22.0
34391,11660386,04/10/2019 04:15:00 PM,001XX N DEARBORN ST,THEFT,FROM BUILDING,RESTAURANT,False,1.0,42.0,32.0,2019.0,04/24/2019 04:24:31 PM,"(41.884198612, -87.629444441)",92.0,36.0
320980,11255668,03/10/2018 12:00:00 PM,069XX N SHERIDAN RD,THEFT,$500 AND UNDER,OTHER,False,24.0,49.0,1.0,2018.0,05/04/2018 03:51:04 PM,"(42.008384324, -87.661825019)",267.0,5.0
214737,11394515,07/27/2018 07:00:00 PM,076XX S CORNELL AVE,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,4.0,8.0,43.0,2018.0,08/03/2018 04:16:20 PM,"(41.756152334, -87.584523288)",188.0,35.0
269297,11321907,05/21/2018 02:14:00 PM,003XX N LATROBE AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,True,15.0,28.0,25.0,2018.0,05/28/2018 03:48:32 PM,"(41.886032227, -87.756497813)",674.0,45.0
693353,10709276,10/08/2016 09:40:00 AM,047XX N LEAVITT ST,THEFT,$500 AND UNDER,STREET,False,19.0,47.0,4.0,2016.0,02/10/2018 03:50:01 PM,"(41.967110218, -87.683997574)",665.0,18.0
460022,11064023,08/22/2017 11:16:00 PM,067XX S OAKLEY AVE,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,8.0,17.0,66.0,2017.0,02/10/2018 03:50:01 PM,"(41.771015782, -87.680879835)",370.0,31.0
628804,10808354,01/07/2017 11:05:00 AM,049XX W MONROE ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,15.0,28.0,25.0,2017.0,02/14/2017 03:49:42 PM,"(41.879467146, -87.748195577)",69.0,23.0
283116,11303689,05/03/2018 01:46:00 PM,046XX W MADISON ST,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,11.0,28.0,25.0,2018.0,05/10/2018 03:48:24 PM,"(41.880541203, -87.74144009)",69.0,23.0
631437,10803459,01/03/2017 06:30:00 AM,0000X W 33RD ST,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,2.0,3.0,35.0,2017.0,02/14/2017 03:49:42 PM,"(41.834642515, -87.628934556)",25.0,9.0
495381,11013024,07/09/2017 11:30:00 PM,015XX N MAPLEWOOD AVE,BURGLARY,FORCIBLE ENTRY,CHA APARTMENT,False,14.0,26.0,24.0,2017.0,02/10/2018 03:50:01 PM,"(41.90898517, -87.690872752)",302.0,41.0
148761,11491610,10/21/2018 12:00:00 AM,030XX N SHEFFIELD AVE,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,False,19.0,44.0,6.0,2018.0,11/01/2018 04:04:01 PM,"(41.937554531, -87.654027018)",680.0,25.0
