,ID,Date,Block,Primary Type,Description,Location Description,Arrest,District,Ward,Community Area,Year,Updated On,Location,Census Tracts,Wards
111955,11532983,12/12/2018 08:00:00 AM,003XX S FRANKLIN ST,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,1.0,42.0,32.0,2018.0,12/19/2018 04:20:33 PM,"(41.877145291, -87.635187616)",92.0,36.0
151114,11480384,10/17/2018 09:40:00 PM,027XX N SPAULDING AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,14.0,35.0,22.0,2018.0,10/24/2018 04:22:11 PM,"(41.931257077, -87.710248219)",72.0,12.0
74219,11589655,02/08/2019 11:30:00 AM,001XX N STATE ST,CRIMINAL TRESPASS,TO LAND,OTHER,True,1.0,42.0,32.0,2019.0,02/15/2019 04:04:58 PM,"(41.883475491, -87.627876969)",580.0,36.0
250931,11346364,06/13/2018 04:00:00 AM,003XX W 118TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,5.0,34.0,53.0,2018.0,07/04/2018 03:51:14 PM,"(41.679745198, -87.631504918)",255.0,22.0
339586,11226920,02/09/2018 06:45:00 PM,035XX N CENTRAL AVE,ASSAULT,SIMPLE,APARTMENT,False,16.0,38.0,15.0,2018.0,05/04/2018 03:51:04 PM,"(41.944524271, -87.766707856)",361.0,44.0
199377,11423506,08/15/2018 11:00:00 AM,029XX N LAKE SHORE DR,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,NURSING HOME/RETIREMENT HOME,False,19.0,44.0,6.0,2018.0,08/26/2018 03:55:55 PM,"(41.936046155, -87.636780157)",103.0,25.0
266882,11325399,05/24/2018 04:47:00 PM,037XX W LAWRENCE AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,17.0,39.0,14.0,2018.0,05/31/2018 03:57:28 PM,"(41.968305411, -87.722257268)",120.0,12.0
99858,11551180,12/29/2018 02:30:00 PM,021XX N ELSTON AVE,BATTERY,SIMPLE,DEPARTMENT STORE,False,14.0,32.0,22.0,2018.0,01/10/2019 03:16:50 PM,"(41.920086604, -87.67029509)",209.0,40.0
445679,11084925,09/11/2017 08:40:00 AM,019XX S SAWYER AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,10.0,24.0,29.0,2017.0,02/10/2018 03:50:01 PM,"(41.854894966, -87.70656315)",202.0,14.0
641804,10787816,12/19/2016 11:00:00 AM,049XX W CHICAGO AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,15.0,37.0,25.0,2016.0,02/10/2018 03:50:01 PM,"(41.894975498, -87.749394667)",585.0,45.0
72168,11596444,02/11/2019 12:08:00 PM,004XX W 76TH ST,BATTERY,SIMPLE,OTHER,False,6.0,6.0,69.0,2019.0,02/20/2019 04:21:43 PM,"(41.756249125, -87.634743877)",495.0,32.0
276949,11439497,05/11/2018 11:00:00 AM,001XX S MICHIGAN AVE,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY GROUNDS,False,1.0,42.0,32.0,2018.0,09/12/2018 04:00:35 PM,"(41.880404956, -87.624356147)",367.0,36.0
46250,11632687,03/23/2019 10:30:00 PM,042XX S COTTAGE GROVE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,False,2.0,4.0,38.0,2019.0,03/30/2019 04:05:30 PM,"(41.81811276, -87.60674129)",220.0,10.0
625710,10813299,01/12/2017 12:26:00 AM,028XX S CHRISTIANA AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,10.0,22.0,30.0,2017.0,02/10/2018 03:50:01 PM,"(41.840174701, -87.708571081)",146.0,28.0
112251,11532366,12/11/2018 06:33:00 PM,027XX N SAYRE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,25.0,36.0,18.0,2018.0,12/18/2018 04:20:29 PM,"(41.929976367, -87.800951263)",136.0,7.0
556296,10920791,04/22/2017 12:07:00 AM,017XX E 79TH ST,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,True,4.0,8.0,43.0,2017.0,02/10/2018 03:50:01 PM,"(41.751516833, -87.583202887)",188.0,35.0
9327,11689325,05/16/2019 03:30:00 PM,078XX S HALSTED ST,ASSAULT,SIMPLE,POLICE FACILITY/VEH PARKING LOT,True,6.0,17.0,71.0,2019.0,05/23/2019 04:10:00 PM,"(41.751928332, -87.644077264)",487.0,31.0
403674,11141273,11/06/2017 03:00:00 AM,038XX W GRENSHAW ST,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,11.0,24.0,29.0,2017.0,02/10/2018 03:50:01 PM,"(41.867125359, -87.721176834)",98.0,14.0
622654,10825026,01/16/2017 01:00:00 PM,061XX S ST LOUIS AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,8.0,15.0,66.0,2017.0,02/14/2017 03:49:42 PM,"(41.782064116, -87.710510437)",344.0,6.0
12988,11683685,05/11/2019 10:27:00 AM,016XX E 87TH ST,THEFT,RETAIL THEFT,DRUG STORE,True,4.0,8.0,45.0,2019.0,05/18/2019 04:03:45 PM,"(41.736930377, -87.584391221)",473.0,35.0
435649,11097703,09/24/2017 03:15:00 AM,003XX N CLARK ST,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,SIDEWALK,False,18.0,42.0,8.0,2017.0,02/10/2018 03:50:01 PM,"(41.8880146, -87.631033159)",670.0,36.0
571038,10902915,04/01/2017 02:00:00 PM,041XX S PRAIRIE AVE,THEFT,$500 AND UNDER,RESIDENCE,False,2.0,3.0,38.0,2017.0,02/10/2018 03:50:01 PM,"(41.819613861, -87.619872682)",163.0,9.0
355805,11204792,01/15/2018 04:15:00 PM,084XX S STONY ISLAND AVE,CRIMINAL DAMAGE,TO PROPERTY,BANK,False,4.0,8.0,45.0,2018.0,05/04/2018 03:51:04 PM,"(41.742150773, -87.585766931)",133.0,35.0
460148,11063912,08/22/2017 07:55:00 PM,063XX W LAWRENCE AVE,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,16.0,38.0,15.0,2017.0,02/10/2018 03:50:01 PM,"(41.967500334, -87.785676769)",95.0,19.0
440115,11092801,09/18/2017 03:45:00 PM,036XX W 47TH ST,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,False,8.0,14.0,57.0,2017.0,02/10/2018 03:50:01 PM,"(41.807978431, -87.715082878)",563.0,8.0
428947,11106775,10/02/2017 09:20:00 PM,002XX E OHIO ST,THEFT,FROM BUILDING,RESTAURANT,False,18.0,42.0,8.0,2017.0,02/10/2018 03:50:01 PM,"(41.892569681, -87.622058354)",159.0,36.0
197779,11416993,08/17/2018 09:10:00 AM,0000X S KEDZIE AVE,ASSAULT,SIMPLE,OTHER,False,11.0,28.0,27.0,2018.0,08/24/2018 04:12:03 PM,"(41.880586939, -87.706110174)",765.0,23.0
594065,10861567,02/25/2017 04:00:00 PM,002XX S WABASH AVE,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,False,1.0,42.0,32.0,2017.0,02/10/2018 03:50:01 PM,"(41.87911226, -87.626110978)",367.0,36.0
718814,10670124,09/05/2016 04:00:00 PM,016XX N OAKLEY AVE,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,14.0,1.0,24.0,2016.0,02/10/2018 03:50:01 PM,"(41.911495021, -87.684815055)",298.0,40.0
