,ID,Date,Block,Primary Type,Description,Location Description,Arrest,District,Ward,Community Area,Year,Updated On,Location,Census Tracts,Wards
582334,10918371,03/16/2017 09:34:00 AM,007XX E 111TH ST,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,GOVERNMENT BUILDING/PROPERTY,False,5.0,9.0,50.0,2017.0,02/10/2018 03:50:01 PM,"(41.692833841, -87.60431945)",601.0,43.0
16934,11677668,05/05/2019 10:30:00 PM,048XX W IOWA ST,THEFT,OVER $500,STREET,False,15.0,37.0,25.0,2019.0,05/12/2019 04:04:54 PM,"(41.896821718, -87.747111574)",578.0,45.0
473228,11062502,08/06/2017 08:00:00 AM,019XX W SUPERIOR ST,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,12.0,1.0,24.0,2017.0,02/10/2018 03:50:01 PM,"(41.895013826, -87.675766395)",519.0,41.0
426499,11110304,10/06/2017 07:55:00 AM,0000X E WASHINGTON ST,BATTERY,SIMPLE,SIDEWALK,False,1.0,42.0,32.0,2017.0,02/10/2018 03:50:01 PM,"(41.883225159, -87.62510349)",580.0,36.0
372174,11183039,12/20/2017 08:25:00 AM,001XX W CERMAK RD,BATTERY,SIMPLE,CTA TRAIN,False,9.0,25.0,34.0,2017.0,05/04/2018 03:51:04 PM,"(41.852868298, -87.63091491)",3.0,26.0
634803,10799299,12/29/2016 09:00:00 PM,040XX W OAKDALE AVE,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),False,25.0,31.0,21.0,2016.0,02/10/2018 03:50:01 PM,"(41.934514551, -87.72822139)",464.0,17.0
452208,11074917,09/02/2017 03:10:00 AM,020XX W 79TH ST,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,True,6.0,18.0,71.0,2017.0,02/10/2018 03:50:01 PM,"(41.750229101, -87.673438518)",573.0,30.0
461247,11062060,08/21/2017 12:01:00 PM,039XX W JACKSON BLVD,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,11.0,28.0,26.0,2017.0,02/10/2018 03:50:01 PM,"(41.877108358, -87.724162316)",736.0,23.0
330292,11239604,02/24/2018 05:03:00 PM,009XX W 71ST ST,BATTERY,SIMPLE,STREET,False,7.0,17.0,68.0,2018.0,05/04/2018 03:51:04 PM,"(41.76515315, -87.647751548)",410.0,32.0
585254,10874891,03/11/2017 02:00:00 AM,053XX W FOSTER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,16.0,45.0,11.0,2017.0,02/10/2018 03:50:01 PM,"(41.975183493, -87.761350113)",128.0,50.0
397555,11152665,11/14/2017 09:00:00 PM,014XX S JEFFERSON ST,THEFT,OVER $500,OTHER,True,1.0,11.0,28.0,2017.0,12/18/2018 04:13:04 PM,"(41.863276227, -87.642053002)",97.0,48.0
434176,11099694,09/26/2017 12:00:00 AM,012XX S WASHTENAW AVE,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,False,10.0,28.0,29.0,2017.0,02/10/2018 03:50:01 PM,"(41.86527236, -87.693373816)",16.0,23.0
75364,11587749,02/06/2019 02:53:00 PM,053XX W WASHINGTON BLVD,ARSON,BY FIRE,RESIDENCE-GARAGE,False,15.0,28.0,25.0,2019.0,02/15/2019 04:04:58 PM,"(41.882317624, -87.759457988)",674.0,23.0
430954,11104366,09/30/2017 11:00:00 AM,023XX N CLARK ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,18.0,43.0,7.0,2017.0,02/10/2018 03:50:01 PM,"(41.924745454, -87.63995305)",207.0,34.0
216675,11396813,07/25/2018 12:00:00 PM,008XX W 122ND ST,ASSAULT,SIMPLE,RESIDENCE,False,5.0,34.0,53.0,2018.0,08/02/2018 03:50:34 PM,"(41.672342273, -87.642591725)",662.0,22.0
333111,11242293,02/20/2018 12:00:00 PM,074XX N HARLEM AVE,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,16.0,41.0,9.0,2018.0,05/04/2018 03:51:04 PM,"(42.015994882, -87.806585968)",653.0,29.0
253316,11342901,06/09/2018 10:42:00 PM,100XX S NORMAL AVE,ASSAULT,SIMPLE,RESIDENCE,False,22.0,9.0,73.0,2018.0,06/16/2018 03:51:19 PM,"(41.712189452, -87.635689956)",593.0,43.0
423117,11115456,10/10/2017 07:45:00 PM,004XX N LEAMINGTON AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,15.0,28.0,25.0,2017.0,02/10/2018 03:50:01 PM,"(41.888427067, -87.754140512)",694.0,23.0
256108,11339055,06/06/2018 12:36:00 PM,072XX S ALBANY AVE,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,RESIDENCE,True,8.0,18.0,66.0,2018.0,06/13/2018 04:15:47 PM,"(41.761936504, -87.700299193)",349.0,30.0
23048,11672834,04/27/2019 02:00:00 AM,050XX W ADAMS ST,THEFT,$500 AND UNDER,APARTMENT,False,15.0,28.0,25.0,2019.0,05/04/2019 04:08:17 PM,"(41.878521203, -87.751057355)",184.0,23.0
525903,10966618,06/01/2017 05:00:00 PM,006XX S WABASH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,1.0,2.0,32.0,2017.0,02/10/2018 03:50:01 PM,"(41.873968788, -87.625987769)",368.0,10.0
696185,10704935,10/04/2016 06:15:00 PM,025XX W 46TH PL,ASSAULT,SIMPLE,STREET,False,9.0,12.0,58.0,2016.0,02/10/2018 03:50:01 PM,"(41.809295066, -87.688025712)",687.0,3.0
362174,11223520,01/05/2018 02:00:00 PM,021XX S CHINA PL,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,BANK,False,9.0,25.0,34.0,2018.0,05/04/2018 03:51:04 PM,"(41.853969331, -87.634610162)",3.0,26.0
519412,10976194,06/09/2017 08:00:00 PM,004XX S CLARK ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESTAURANT,False,1.0,2.0,32.0,2017.0,02/10/2018 03:50:01 PM,"(41.876434835, -87.630737689)",92.0,10.0
217194,11391009,07/24/2018 05:46:00 PM,060XX N CICERO AVE,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GROCERY FOOD STORE,False,16.0,39.0,12.0,2018.0,07/31/2018 03:50:48 PM,"(41.990427791, -87.748331787)",782.0,38.0
239741,11360914,06/27/2018 12:30:00 AM,041XX W GRENSHAW ST,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,False,11.0,24.0,29.0,2018.0,07/04/2018 03:53:35 PM,"(41.86703119, -87.728784764)",98.0,14.0
245379,11355254,06/20/2018 12:00:00 AM,103XX S AVENUE N,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,4.0,10.0,52.0,2018.0,06/27/2018 04:15:34 PM,"(41.707329423, -87.538913044)",602.0,47.0
44872,11634788,03/26/2019 04:13:00 AM,012XX N LARAMIE AVE,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,False,25.0,37.0,25.0,2019.0,04/02/2019 04:10:50 PM,"(41.902510547, -87.755780146)",599.0,45.0
230522,11372897,07/07/2018 10:45:00 PM,027XX N LECLAIRE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,25.0,31.0,19.0,2018.0,07/14/2018 03:51:39 PM,"(41.930832724, -87.753937123)",304.0,17.0
373977,11180455,12/17/2017 06:20:00 PM,027XX W WILSON AVE,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,BRIDGE,False,19.0,47.0,4.0,2017.0,05/04/2018 03:51:04 PM,"(41.964791581, -87.696776466)",621.0,18.0
125016,11517289,11/23/2018 12:40:00 PM,035XX N CICERO AVE,ASSAULT,SIMPLE,RESTAURANT,False,16.0,31.0,15.0,2018.0,12/05/2018 04:12:40 PM,"(41.945506767, -87.747044393)",115.0,21.0
46969,11632114,03/22/2019 09:30:00 PM,010XX W LAKE ST,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,False,12.0,27.0,28.0,2019.0,03/29/2019 04:12:07 PM,"(41.885577877, -87.652477296)",63.0,46.0
649561,10782496,12/06/2016 03:47:00 PM,013XX N CLAREMONT AVE,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,14.0,1.0,24.0,2016.0,02/10/2018 03:50:01 PM,"(41.905447207, -87.685871795)",516.0,41.0
279489,11308205,05/08/2018 01:50:00 AM,075XX N SHERIDAN RD,THEFT,RETAIL THEFT,GAS STATION,True,24.0,49.0,1.0,2018.0,05/16/2018 04:09:42 PM,"(42.018734342, -87.66588196)",357.0,5.0
616437,10827332,01/24/2017 07:36:00 PM,024XX W CONGRESS PKWY,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,True,11.0,2.0,28.0,2017.0,02/14/2017 03:49:42 PM,"(41.874999275, -87.686744656)",756.0,23.0
62469,11607708,02/26/2019 03:53:00 PM,038XX W FLOURNOY ST,CRIMINAL TRESPASS,TO LAND,RESIDENCE,False,11.0,24.0,26.0,2019.0,03/05/2019 04:20:51 PM,"(41.872590005, -87.721333979)",702.0,14.0
505901,10996784,06/26/2017 07:30:00 PM,023XX W ARGYLE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,20.0,47.0,4.0,2017.0,02/10/2018 03:50:01 PM,"(41.97226553, -87.68819259)",54.0,24.0
414106,11126692,10/23/2017 03:59:00 AM,064XX W DIVERSEY AVE,BURGLARY,FORCIBLE ENTRY,OTHER,False,25.0,36.0,19.0,2017.0,02/10/2018 03:50:01 PM,"(41.930966242, -87.787341797)",137.0,44.0
662178,10771691,11/18/2016 03:00:00 PM,007XX N CICERO AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,15.0,28.0,25.0,2016.0,02/10/2018 03:50:01 PM,"(41.893796191, -87.745769257)",695.0,45.0
