,ID,Date,Block,Primary Type,Description,Location Description,Arrest,District,Ward,Community Area,Year,Updated On,Location,Census Tracts,Wards
628324,10813170,01/08/2017 02:30:00 AM,069XX S JEFFERY BLVD,ROBBERY,ARMED: HANDGUN,SIDEWALK,True,3.0,5.0,43.0,2017.0,02/10/2018 03:50:01 PM,"(41.768975173, -87.576375543)",381.0,33.0
82616,11576356,01/24/2019 05:30:00 PM,012XX W WASHINGTON BLVD,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,12.0,27.0,28.0,2019.0,01/31/2019 04:11:34 PM,"(41.882944558, -87.659185081)",63.0,46.0
271274,11326726,05/18/2018 09:45:00 PM,047XX W OHIO ST,STALKING,SIMPLE,SIDEWALK,False,11.0,28.0,25.0,2018.0,05/30/2018 03:49:34 PM,"(41.891404946, -87.743965818)",695.0,23.0
525197,10966943,06/02/2017 03:00:00 PM,035XX W CORTLAND ST,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,False,14.0,26.0,22.0,2017.0,02/10/2018 03:50:01 PM,"(41.915474885, -87.71581006)",351.0,41.0
666604,10751136,11/12/2016 01:00:00 PM,005XX W 81ST PL,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,6.0,21.0,44.0,2016.0,02/10/2018 03:50:01 PM,"(41.746200959, -87.636794975)",1.0,13.0
706764,10689671,09/20/2016 10:00:00 PM,106XX S WALLACE ST,THEFT,OVER $500,STREET,False,22.0,34.0,49.0,2016.0,02/10/2018 03:50:01 PM,"(41.700783048, -87.637790668)",525.0,22.0
425292,11112656,10/07/2017 08:00:00 PM,039XX N OLCOTT AVE,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,16.0,36.0,17.0,2017.0,02/10/2018 03:50:01 PM,"(41.951279089, -87.814589132)",392.0,19.0
39817,11642556,04/02/2019 05:14:00 PM,022XX S KENNETH AVE,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,True,10.0,22.0,29.0,2019.0,04/09/2019 04:24:58 PM,"(41.85090595, -87.735605786)",125.0,28.0
527962,10961950,05/30/2017 02:15:00 AM,041XX W GLADYS AVE,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,True,11.0,28.0,26.0,2017.0,02/10/2018 03:50:01 PM,"(41.87613673, -87.728805441)",675.0,23.0
502829,11001838,06/30/2017 08:30:00 PM,049XX W LEXINGTON ST,ASSAULT,SIMPLE,STREET,False,15.0,24.0,25.0,2017.0,02/10/2018 03:50:01 PM,"(41.87111214, -87.747900952)",61.0,7.0
561434,10912538,04/15/2017 04:30:00 AM,060XX S KEDZIE AVE,ROBBERY,STRONGARM - NO WEAPON,CONVENIENCE STORE,False,8.0,16.0,66.0,2017.0,02/10/2018 03:50:01 PM,"(41.783451628, -87.70326286)",183.0,6.0
546976,10934682,05/04/2017 07:10:00 PM,089XX S BISHOP ST,ROBBERY,STRONGARM - NO WEAPON,STREET,False,22.0,21.0,73.0,2017.0,02/10/2018 03:50:01 PM,"(41.731282553, -87.659285807)",195.0,13.0
145709,11487092,10/25/2018 09:50:00 AM,004XX N MICHIGAN AVE,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,18.0,42.0,8.0,2018.0,11/01/2018 04:12:18 PM,"(41.889906681, -87.624100509)",159.0,36.0
686495,10728120,10/17/2016 02:03:00 PM,034XX N HARDING AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,17.0,30.0,21.0,2016.0,02/10/2018 03:50:01 PM,"(41.943520821, -87.72609253)",138.0,21.0
622687,10849010,01/16/2017 12:00:00 PM,058XX N JERSEY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,17.0,39.0,13.0,2017.0,03/01/2017 03:50:24 PM,"(41.987345321, -87.710124572)",799.0,38.0
399510,11146799,11/12/2017 01:30:00 AM,015XX E 72ND ST,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,3.0,5.0,43.0,2017.0,02/10/2018 03:50:01 PM,"(41.764226888, -87.587182174)",451.0,37.0
254891,11340851,06/07/2018 10:34:00 PM,021XX W DEVON AVE,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,ALLEY,True,24.0,50.0,2.0,2018.0,06/14/2018 04:02:30 PM,"(41.99782476, -87.68425932)",320.0,27.0
513355,10985687,06/17/2017 11:44:00 AM,035XX N PULASKI RD,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CONVENIENCE STORE,False,17.0,30.0,21.0,2017.0,02/10/2018 03:50:01 PM,"(41.94593982, -87.727385537)",138.0,21.0
719072,10669551,09/05/2016 08:00:00 AM,064XX S EBERHART AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,3.0,20.0,42.0,2016.0,02/10/2018 03:50:01 PM,"(41.778012563, -87.613155452)",332.0,4.0
259727,11334305,06/01/2018 09:30:00 PM,003XX S CICERO AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,15.0,24.0,25.0,2018.0,06/08/2018 03:51:14 PM,"(41.876548089, -87.745134143)",69.0,23.0
266044,11326377,05/25/2018 05:30:00 PM,065XX S WESTERN AVE,BATTERY,SIMPLE,RESTAURANT,False,8.0,15.0,66.0,2018.0,06/01/2018 03:50:54 PM,"(41.775015522, -87.683530209)",370.0,2.0
273551,11316502,05/15/2018 11:36:00 PM,056XX S SHIELDS AVE,BATTERY,SIMPLE,RESIDENCE,True,7.0,3.0,68.0,2018.0,05/22/2018 04:12:16 PM,"(41.791388486, -87.634076435)",166.0,9.0
646000,10781633,12/12/2016 11:20:00 AM,030XX E CHELTENHAM PL,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,4.0,7.0,43.0,2016.0,02/10/2018 03:50:01 PM,"(41.752174882, -87.551824707)",421.0,37.0
390942,11158395,11/24/2017 02:15:00 PM,071XX S OGLESBY AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,3.0,5.0,43.0,2017.0,02/10/2018 03:50:01 PM,"(41.765429816, -87.567718905)",453.0,33.0
375460,11189174,12/15/2017 07:00:00 PM,011XX S CANAL ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,False,1.0,2.0,28.0,2017.0,05/04/2018 03:51:04 PM,"(41.868541914, -87.639235361)",97.0,26.0
673341,10746254,11/03/2016 11:45:00 AM,005XX E 91ST PL,ASSAULT,SIMPLE,SIDEWALK,False,6.0,6.0,44.0,2016.0,02/10/2018 03:50:01 PM,"(41.728346543, -87.610589193)",430.0,43.0
533100,10958051,05/23/2017 12:00:00 PM,048XX N MAJOR AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,16.0,45.0,15.0,2017.0,02/10/2018 03:50:01 PM,"(41.968042794, -87.770176631)",94.0,50.0
541346,10954231,05/12/2017 04:30:00 PM,060XX S GREEN ST,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,7.0,16.0,68.0,2017.0,02/10/2018 03:50:01 PM,"(41.784509877, -87.646119056)",22.0,2.0
523801,10968306,06/04/2017 04:00:00 AM,105XX S HALE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,22.0,19.0,72.0,2017.0,02/10/2018 03:50:01 PM,"(41.701915494, -87.669172212)",630.0,42.0
67951,11598908,02/17/2019 06:00:00 PM,047XX S WESTERN AVE,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,PARKING LOT/GARAGE(NON.RESID.),False,9.0,15.0,58.0,2019.0,02/24/2019 04:09:21 PM,"(41.808201741, -87.684420054)",85.0,3.0
88613,11566855,01/14/2019 07:42:00 PM,011XX N LAWLER AVE,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,True,15.0,37.0,25.0,2019.0,01/23/2019 11:26:56 AM,"(41.901287144, -87.752077454)",585.0,45.0
431372,11103689,09/29/2017 07:00:00 PM,005XX N CENTRAL AVE,THEFT,$500 AND UNDER,STREET,False,15.0,37.0,25.0,2017.0,02/10/2018 03:50:01 PM,"(41.889741913, -87.765198001)",672.0,7.0
155641,11473561,10/11/2018 02:00:00 PM,081XX S ELLIS AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,6.0,8.0,44.0,2018.0,10/23/2018 04:17:44 PM,"(41.746980538, -87.600214942)",247.0,35.0
531777,10957264,05/25/2017 04:59:00 AM,008XX N CICERO AVE,THEFT,RETAIL THEFT,GAS STATION,True,11.0,37.0,25.0,2017.0,02/10/2018 03:50:01 PM,"(41.895239896, -87.745814792)",578.0,45.0
586209,10874443,03/09/2017 05:00:00 PM,043XX W OGDEN AVE,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,10.0,22.0,29.0,2017.0,02/10/2018 03:50:01 PM,"(41.848210519, -87.732867164)",125.0,28.0
183481,11435711,09/04/2018 02:00:00 AM,094XX S HAMILTON AVE,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),False,22.0,19.0,72.0,2018.0,09/11/2018 04:02:09 PM,"(41.722515533, -87.676051887)",627.0,42.0
416831,11123453,10/19/2017 05:08:00 PM,003XX S CICERO AVE,NARCOTICS,POSS: PCP,ALLEY,True,11.0,24.0,25.0,2017.0,02/10/2018 03:50:01 PM,"(41.876408101, -87.745128083)",69.0,23.0
359850,11199345,01/09/2018 12:32:00 PM,012XX N LOCKWOOD AVE,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,25.0,37.0,25.0,2018.0,05/04/2018 03:51:04 PM,"(41.903469858, -87.758280458)",599.0,45.0
585472,10874596,03/10/2017 06:50:00 PM,025XX N CLYBOURN AVE,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,19.0,32.0,7.0,2017.0,02/10/2018 03:50:01 PM,"(41.927998524, -87.673208159)",743.0,40.0
592640,10863840,02/27/2017 11:00:00 PM,076XX N SHERIDAN RD,THEFT,$500 AND UNDER,OTHER,False,24.0,49.0,1.0,2017.0,02/10/2018 03:50:01 PM,"(42.020702584, -87.666468605)",340.0,5.0
705114,10691386,09/23/2016 12:23:00 AM,032XX N SHEFFIELD AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,19.0,44.0,6.0,2016.0,02/10/2018 03:50:01 PM,"(41.940557298, -87.654127467)",710.0,25.0
250488,11348605,06/13/2018 06:04:00 PM,019XX W 33RD ST,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,False,9.0,11.0,59.0,2018.0,06/20/2018 04:03:16 PM,"(41.834042232, -87.674368991)",192.0,26.0
25058,11665273,04/24/2019 11:30:00 AM,052XX S HERMITAGE AVE,THEFT,PURSE-SNATCHING,STREET,False,9.0,16.0,61.0,2019.0,05/01/2019 04:31:01 PM,"(41.799007141, -87.668365008)",789.0,2.0
359543,11199962,01/09/2018 07:55:00 PM,114XX S MICHIGAN AVE,ASSAULT,SIMPLE,DEPARTMENT STORE,False,5.0,9.0,49.0,2018.0,05/04/2018 03:51:04 PM,"(41.685953051, -87.620827806)",253.0,43.0
666937,10750209,11/12/2016 01:00:00 AM,100XX W OHARE ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,AIRPORT EXTERIOR - NON-SECURE AREA,False,16.0,41.0,76.0,2016.0,02/10/2018 03:50:01 PM,"(41.976290414, -87.905227221)",668.0,29.0
593658,10861512,02/26/2017 10:15:00 AM,105XX S PARNELL AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,22.0,34.0,49.0,2017.0,02/10/2018 03:50:01 PM,"(41.702897554, -87.636658298)",525.0,22.0
324261,11255649,03/05/2018 03:00:00 PM,037XX S ASHLAND AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,9.0,11.0,59.0,2018.0,05/04/2018 03:51:04 PM,"(41.826688398, -87.665480953)",721.0,1.0
306266,11272737,04/01/2018 12:01:00 AM,030XX W ADDISON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,17.0,33.0,16.0,2018.0,05/04/2018 03:51:04 PM,"(41.946655022, -87.703231701)",372.0,20.0
722567,10665239,09/01/2016 02:05:00 AM,002XX E OHIO ST,BURGLARY,FORCIBLE ENTRY,RESTAURANT,True,18.0,42.0,8.0,2016.0,02/10/2018 03:50:01 PM,"(41.892569681, -87.622058354)",159.0,36.0
58493,11614097,03/05/2019 09:01:00 AM,036XX N LAKE SHORE DR,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,19.0,46.0,6.0,2019.0,03/12/2019 04:21:39 PM,"(41.949649326, -87.64407246)",726.0,39.0
28523,11660335,04/19/2019 12:00:00 PM,107XX S DOTY AVE E,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,5.0,10.0,51.0,2019.0,04/26/2019 04:11:15 PM,"(41.699791627, -87.593299391)",174.0,47.0
383732,11169307,12/04/2017 02:00:00 AM,005XX W 32ND ST,THEFT,$500 AND UNDER,STREET,False,9.0,11.0,60.0,2017.0,02/10/2018 03:50:01 PM,"(41.836309959, -87.63958008)",223.0,48.0
588868,10868933,03/05/2017 06:00:00 PM,085XX S COTTAGE GROVE AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,6.0,6.0,44.0,2017.0,02/10/2018 03:50:01 PM,"(41.739265865, -87.604893749)",141.0,35.0
583337,10878028,03/14/2017 01:40:00 PM,031XX W FLOURNOY ST,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,11.0,24.0,27.0,2017.0,02/10/2018 03:50:01 PM,"(41.87279586, -87.704075138)",36.0,14.0
319203,11254688,03/13/2018 08:21:00 AM,052XX W GRACE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,16.0,38.0,15.0,2018.0,05/04/2018 03:51:04 PM,"(41.94963773, -87.758075235)",231.0,50.0
571209,10902142,04/01/2017 10:00:00 AM,004XX E 44TH ST,THEFT,OVER $500,RESIDENCE,False,2.0,3.0,38.0,2017.0,02/10/2018 03:50:01 PM,"(41.814842356, -87.615593313)",161.0,9.0
426903,11109753,10/05/2017 05:15:00 PM,026XX N NARRAGANSETT AVE,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,False,25.0,36.0,19.0,2017.0,02/10/2018 03:50:01 PM,"(41.928263171, -87.785611939)",78.0,21.0
223453,11382463,07/16/2018 09:00:00 PM,107XX S BURLEY AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,4.0,10.0,52.0,2018.0,07/23/2018 03:57:48 PM,"(41.700164677, -87.544988315)",602.0,47.0
351354,11210584,01/22/2018 11:00:00 AM,055XX S WABASH AVE,ASSAULT,SIMPLE,APARTMENT,False,2.0,20.0,40.0,2018.0,05/04/2018 03:51:04 PM,"(41.793731105, -87.624065316)",403.0,4.0
664580,10766792,11/15/2016 12:00:00 PM,055XX W GLADYS AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,15.0,29.0,25.0,2016.0,02/10/2018 03:50:01 PM,"(41.875656838, -87.762664349)",68.0,7.0
449501,11078636,09/05/2017 08:15:00 PM,006XX E SOLIDARITY DR,THEFT,$500 AND UNDER,OTHER,False,1.0,2.0,33.0,2017.0,02/10/2018 03:50:01 PM,"(41.866431281, -87.612457669)",374.0,10.0
710536,10683081,09/16/2016 03:40:00 AM,046XX N LOWELL AVE,THEFT,$500 AND UNDER,STREET,False,17.0,45.0,16.0,2016.0,02/10/2018 03:50:01 PM,"(41.964857287, -87.737126748)",363.0,38.0
241515,11359434,06/24/2018 09:18:00 PM,067XX S PERRY AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,7.0,6.0,69.0,2018.0,07/01/2018 03:55:31 PM,"(41.77178664, -87.628339611)",513.0,32.0
700943,10698896,09/28/2016 11:30:00 AM,006XX W ROSCOE ST,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,False,19.0,44.0,6.0,2016.0,02/10/2018 03:50:01 PM,"(41.943666233, -87.646243102)",730.0,25.0
656431,10765272,11/26/2016 11:22:00 PM,069XX N PAULINA ST,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,24.0,49.0,1.0,2016.0,02/10/2018 03:50:01 PM,"(42.008365081, -87.672219692)",49.0,5.0
682336,10726199,10/23/2016 12:01:00 AM,022XX W WARREN BLVD,THEFT,$500 AND UNDER,TAXICAB,False,12.0,2.0,28.0,2016.0,02/10/2018 03:50:01 PM,"(41.882144481, -87.682229251)",37.0,46.0
250468,11347931,06/13/2018 06:30:00 PM,046XX W BARRY AVE,THEFT,OVER $500,STREET,False,25.0,31.0,19.0,2018.0,06/20/2018 04:03:16 PM,"(41.937045655, -87.743696461)",460.0,17.0
249523,11348493,06/14/2018 11:00:00 PM,015XX W FARWELL AVE,THEFT,$500 AND UNDER,OTHER,False,24.0,49.0,1.0,2018.0,06/21/2018 04:04:58 PM,"(42.006636139, -87.668874659)",358.0,5.0
197717,11417348,08/17/2018 11:00:00 AM,001XX W KINZIE ST,THEFT,FROM BUILDING,BAR OR TAVERN,False,18.0,42.0,8.0,2018.0,08/24/2018 04:12:03 PM,"(41.889175405, -87.633279098)",670.0,36.0
7637,11691761,05/18/2019 09:23:00 PM,101XX S WINSTON AVE,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,True,22.0,34.0,73.0,2019.0,05/25/2019 04:16:00 PM,"(41.709539588, -87.655601585)",594.0,22.0
39482,11648289,04/03/2019 09:00:00 AM,016XX E 95TH ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,False,4.0,7.0,51.0,2019.0,04/11/2019 03:59:23 PM,"(41.722362598, -87.58382047)",252.0,37.0
