,ID,Date,Block,Primary Type,Description,Location Description,Arrest,District,Ward,Community Area,Year,Updated On,Location,Census Tracts,Wards
513226,10985926,06/17/2017 03:00:00 PM,005XX W ARLINGTON PL,THEFT,$500 AND UNDER,SIDEWALK,False,19.0,43.0,7.0,2017.0,02/10/2018 03:50:01 PM,"(41.926748485, -87.642643335)",185.0,34.0
441324,11089901,09/17/2017 12:18:00 AM,022XX W ESTES AVE,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,True,24.0,50.0,2.0,2017.0,02/10/2018 03:50:01 PM,"(42.011072108, -87.686895406)",268.0,27.0
162779,11463631,10/01/2018 12:16:00 PM,023XX W WARREN BLVD,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,True,12.0,2.0,28.0,2018.0,10/08/2018 04:15:13 PM,"(41.882100231, -87.685079332)",37.0,46.0
170688,11453503,09/21/2018 02:00:00 AM,005XX W ARLINGTON PL,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,False,19.0,43.0,7.0,2018.0,09/28/2018 04:05:23 PM,"(41.926755059, -87.642367657)",185.0,34.0
34970,11650116,04/09/2019 06:30:00 PM,051XX S NORMANDY AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,8.0,23.0,56.0,2019.0,04/16/2019 04:21:50 PM,"(41.79874075, -87.789320145)",588.0,8.0
350718,11218659,01/23/2018 08:50:00 AM,044XX N GREENVIEW AVE,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),True,19.0,47.0,3.0,2018.0,06/08/2018 03:49:10 PM,"(41.962382123, -87.667735242)",576.0,18.0
590482,10880211,03/03/2017 09:30:00 AM,001XX W HURON ST,THEFT,FROM BUILDING,HOTEL/MOTEL,False,18.0,42.0,8.0,2017.0,02/10/2018 03:50:01 PM,"(41.894824927, -87.631788635)",670.0,11.0
351609,11210315,01/21/2018 11:18:00 PM,105XX S EMERALD AVE,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,True,22.0,34.0,49.0,2018.0,05/04/2018 03:51:04 PM,"(41.70224333, -87.641477162)",525.0,22.0
79941,11586901,01/29/2019 06:00:00 PM,001XX W CHESTNUT ST,THEFT,$500 AND UNDER,RESIDENCE,False,18.0,2.0,8.0,2019.0,02/08/2019 04:05:45 PM,"(41.897966193, -87.631644061)",310.0,11.0
426790,11115453,10/05/2017 08:00:00 PM,078XX S PHILLIPS AVE,ROBBERY,STRONGARM - NO WEAPON,STREET,False,4.0,7.0,43.0,2017.0,02/10/2018 03:50:01 PM,"(41.752200817, -87.565028597)",246.0,37.0
656808,10904106,11/26/2016 01:00:00 PM,010XX W MONTROSE AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,19.0,46.0,3.0,2016.0,02/10/2018 03:50:01 PM,"(41.961755098, -87.656707765)",241.0,39.0
457938,11067418,08/25/2017 05:25:00 PM,098XX S WINSTON AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,22.0,21.0,73.0,2017.0,02/10/2018 03:50:01 PM,"(41.715344339, -87.658485413)",592.0,13.0
91165,11563170,01/10/2019 10:00:00 PM,005XX N RIDGEWAY AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,11.0,27.0,23.0,2019.0,03/12/2019 04:13:28 PM,"(41.89053763, -87.71983685)",584.0,46.0
412044,11129889,10/25/2017 11:00:00 PM,055XX S LOOMIS BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,7.0,16.0,67.0,2017.0,02/10/2018 03:50:01 PM,"(41.79311685, -87.659705481)",384.0,2.0
647785,10784599,12/09/2016 11:43:00 AM,025XX S DR MARTIN LUTHER KING JR DR,THEFT,OVER $500,RESIDENCE,False,1.0,2.0,33.0,2016.0,02/10/2018 03:50:01 PM,"(41.846974408, -87.617704304)",193.0,10.0
487209,11025021,07/20/2017 10:36:00 AM,035XX S WINCHESTER AVE,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,True,9.0,11.0,59.0,2017.0,02/10/2018 03:50:01 PM,"(41.82940799, -87.674034926)",720.0,1.0
233330,11369315,07/04/2018 05:30:00 PM,002XX E 35TH ST,CRIMINAL TRESPASS,TO LAND,RESTAURANT,True,2.0,3.0,35.0,2018.0,07/11/2018 03:55:29 PM,"(41.831063762, -87.621330678)",190.0,9.0
408132,11135390,10/31/2017 11:05:00 AM,069XX S MERRILL AVE,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,3.0,5.0,43.0,2017.0,11/07/2017 03:52:46 PM,"(41.769014078, -87.572709347)",152.0,33.0
346712,11268607,01/29/2018 12:00:00 AM,015XX E 74TH PL,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,3.0,5.0,43.0,2018.0,05/04/2018 03:51:04 PM,"(41.759666354, -87.587256999)",451.0,35.0
714420,10677068,09/11/2016 05:30:00 AM,038XX W 64TH PL,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,8.0,13.0,65.0,2016.0,02/10/2018 03:50:01 PM,"(41.775984093, -87.718400159)",238.0,6.0
316172,11258917,03/17/2018 03:50:00 PM,015XX E 68TH ST,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,SIDEWALK,True,3.0,5.0,43.0,2018.0,05/04/2018 03:51:04 PM,"(41.771504586, -87.587156491)",416.0,33.0
106424,11540712,12/19/2018 06:10:00 PM,067XX N ARTESIAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,24.0,50.0,2.0,2018.0,12/26/2018 04:22:24 PM,"(42.004137386, -87.691266615)",41.0,27.0
645563,10782306,12/13/2016 02:35:00 AM,065XX N ALBANY AVE,THEFT,$500 AND UNDER,RESIDENCE,False,24.0,50.0,2.0,2016.0,12/20/2016 03:49:10 PM,"(42.000089028, -87.707038653)",32.0,27.0
120970,11520617,11/29/2018 05:46:00 PM,005XX E 80TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,False,6.0,6.0,44.0,2018.0,12/06/2018 04:22:24 PM,"(41.74935839, -87.610815296)",11.0,32.0
283355,11303478,05/03/2018 07:00:00 AM,059XX S ASHLAND AVE,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,7.0,15.0,67.0,2018.0,05/10/2018 03:48:24 PM,"(41.786291714, -87.664386014)",276.0,2.0
237772,11363818,06/29/2018 02:04:00 PM,007XX E 132ND ST,ASSAULT,SIMPLE,RESIDENCE,False,5.0,9.0,54.0,2018.0,07/06/2018 03:55:18 PM,"(41.65580407, -87.604254158)",10.0,43.0
146764,11485720,10/23/2018 08:47:00 PM,029XX W BELMONT AVE,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,True,14.0,33.0,21.0,2018.0,10/30/2018 04:19:01 PM,"(41.939370206, -87.700932731)",425.0,20.0
349441,11214151,01/25/2018 07:00:00 AM,018XX N TRIPP AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,25.0,30.0,20.0,2018.0,05/04/2018 03:51:04 PM,"(41.914150511, -87.73256913)",135.0,12.0
390229,11159045,11/25/2017 02:05:00 PM,0000X W 114TH PL,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,5.0,34.0,49.0,2017.0,02/10/2018 03:50:01 PM,"(41.686211776, -87.624500634)",660.0,22.0
259782,11341705,06/01/2018 08:00:00 PM,061XX S KIMBARK AVE,ASSAULT,SIMPLE,STREET,False,3.0,20.0,42.0,2018.0,06/13/2018 04:08:58 PM,"(41.783447149, -87.594710487)",426.0,4.0
603477,10847324,02/12/2017 01:00:00 AM,037XX S ELLIS AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,2.0,4.0,36.0,2017.0,02/19/2017 03:47:01 PM,"(41.827302351, -87.607022638)",221.0,10.0
406002,11138021,11/03/2017 01:20:00 AM,066XX S UNION AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,7.0,6.0,68.0,2017.0,02/10/2018 03:50:01 PM,"(41.773122117, -87.642633303)",435.0,32.0
